stratum	repository	stars	size_kb	language	fork
general	Fission-AI/OpenSpec	67600	9019	TypeScript	false
general	flarum/flarum	16391	756	PHP	false
general	fluent/fluentd	13581	21302	Ruby	false
general	fmtlib/fmt	25658	17724	C++	false
general	fruitcake/laravel-debugbar	19276	15694	PHP	false
general	FuelLabs/fuels-rs	43036	20144	Rust	false
general	Genymobile/scrcpy	149108	9010	C	false
general	ggreer/the_silver_searcher	27120	2426	C	false
general	gin-gonic/gin	89187	10619	Go	false
docs-only	github/opensource.guide	15673	20348	HTML	false
general	github/spec-kit	133972	16905	Python	false
security	gitleaks/gitleaks	29159	6460	Go	false
general	glanceapp/glance	36924	20521	Go	false
non-english	go-ego/gse	2843	21909	Go	false
general	go-gorm/gorm	39950	4827	Go	false
testfixtures	goldbergyoni/javascript-testing-best-practices	24624	10417	JavaScript	false
general	google/flatbuffers	26446	22255	C++	false
general	google/googletest	39504	14236	C++	false
general	google/leveldb	39394	1848	C++	false
installer	google/zx	45733	4199	JavaScript	false
dotfiles	gpakosz/.tmux	25371	690	Shell	false
general	Graphify-Labs/graphify	115790	11795	Python	false
general	greatghoul/remote-working	11749	2235	Ruby	false
general	greenrobot/EventBus	24710	1742	Java	false
general	guzzle/guzzle	23458	13635	PHP	false
general	h5bp/html5-boilerplate	57615	22885	JavaScript	false
docs-only	Hack-with-Github/Awesome-Hacking	119915	1461	none	false
large	hacksider/Deep-Live-Cam	96539	156230	Python	false
non-english	handsomestWei/patent-disclosure-skill	8601	8152	Python	false
malware-analysis	hasherezade/hollows_hunter	2403	16555	C	false
malware-analysis	hasherezade/pe-bear	3797	1317	C++	false
general	heartcombo/devise	24355	5944	Ruby	false
general	hexojs/hexo	41764	7302	TypeScript	false
general	hollischuang/toBeTopJavaer	25333	8004	Java	false
dotfiles	holman/dotfiles	7770	594	Shell	false
installer	httpie/cli	38486	6925	Python	false
small	huangbwww/nga-wolf-watcher	60	3838	Python	false
general	huginn/huginn	49921	9611	Ruby	false
malware-analysis	hugsy/gef	8346	13443	Python	false
general	huihut/interview	38197	5713	C++	false
security	HunxByts/GhostTrack	15021	295	Python	false
general	hwdsl2/setup-ipsec-vpn	28443	12149	Shell	false
general	iamkun/dayjs	48663	6183	JavaScript	false
general	iced-rs/iced	31455	22017	Rust	false
general	id-Software/DOOM	19525	149	C++	false
security	infosecn1nja/Red-Teaming-Toolkit	10693	331	none	false
general	inkonchain/node	36464	245	Shell	false
non-english	InternLM/InternLM	7275	7453	Python	false
general	Intervention/image	14369	6865	PHP	false
general	ityouknow/spring-boot-examples	30498	1074	Java	false
small	iVis-at-Bilkent/cytoscape.js-grid-guide	60	595	JavaScript	false
security	jakejarvis/awesome-shodan-queries	7705	4445	none	false
general	JakeWharton/butterknife	25340	3909	Java	false
testfixtures	jasmine/jasmine	15819	10504	JavaScript	false
non-english	JAVClub/core	2873	5601	JavaScript	false
non-english	JavScraper/Emby.Plugins.JavScraper	3795	775	C#	false
general	jgraph/drawio-desktop	62983	3369	JavaScript	false
docs-only	jlevy/the-art-of-command-line	162304	2772	none	false
testfixtures	joke2k/faker	19393	11886	Python	false
general	jordansissel/fpm	11505	3135	Ruby	false
general	jqlang/jq	35562	7979	C	false
general	JuliusBrussee/caveman	104204	11256	Go	false
general	junegunn/fzf	82865	8822	Go	false
general	justjavac/wechat-miniapp-radar	51184	1429	TypeScript	false
general	JustVugg/colibri	27037	15678	C	false
general	karpathy/autoresearch	95385	530	Python	false
general	kdn251/interviews	65236	24462	Java	false
installer	kepano/obsidian-skills	48009	48	none	false
non-english	kha-white/manga-ocr	2773	1109	Python	false
non-english	kha-white/mokuro	1723	6934	HTML	false
general	kilimchoi/engineering-blogs	38585	1339	Ruby	false
general	kingToolbox/WindTerm	32183	18742	C	false
small	kubevious/cli	60	833	TypeScript	false
general	kyleneideck/BackgroundMusic	19274	2301	C++	false
general	labstack/echo	32699	6695	Go	false
small	larryflorio/open-source-law	60	39	none	false
general	lenve/vhr	28075	8480	Java	false
general	leonardomso/33-js-concepts	66519	2927	JavaScript	false
general	lfnovo/open-notebook	38384	13563	TypeScript	false
security	liamg/traitor	7165	4623	Go	false
general	libuv/libuv	27164	17800	C	false
general	Light-City/CPlusPlusThings	43421	2503	C++	false
non-english	llm-jp/awesome-japanese-llm	1426	14553	TypeScript	false
small	LOEWE-emergenCITY/ros_babel_fish	60	557	C++	false
non-english	lonePatient/awesome-pretrained-chinese-nlp-models	5587	874	Python	false
small	Lost-Outpost/lost-legacy	60	2039	none	false
general	LSPosed/LSPosed	24625	21653	Java	false
general	lysine-dev/retrofit	43937	7521	Java	false
small	m2-systemcode/CustomerIdentityBrazil	60	616	PHP	false
malware-analysis	mandiant/flare-vm	9002	15776	PowerShell	false
general	mathiasbynens/dotfiles	31469	850	Shell	false
general	matteocrippa/awesome-swift	26242	7110	Ruby	false
general	mattpocock/skills	256327	1679	Shell	false
security	maurosoria/dirsearch	14700	23581	Python	false
non-english	metasequoiaime/MSIME-Windows	1315	12909	C++	false
general	microsoft/BitNet	40228	8729	C++	false
general	microsoft/markitdown	180817	4638	Python	false
general	microsoft/playwright-mcp	36883	2072	TypeScript	false
small	MikeWuPing/pdf2md	60	23	Python	false
dotfiles	Misterio77/nix-starter-configs	3829	129	Nix	false
non-english	Morizeyao/GPT2-Chinese	7597	13771	Python	false
security	motdotla/dotenv	20532	2523	JavaScript	false
non-english	mozillazg/python-pinyin	5360	9541	Python	false
general	msitarzewski/agency-agents	150835	4336	Shell	false
malware-analysis	mukul975/Anthropic-Cybersecurity-Skills	32387	12737	Python	false
docs-only	MunGell/awesome-for-beginners	89072	952	none	false
non-english	myshell-ai/MeloTTS	7625	5251	Python	false
general	NARKOZ/hacker-scripts	49823	105	JavaScript	false
general	nektos/act	71845	17748	Go	false
testfixtures	Netflix/pollyjs	10248	3695	JavaScript	false
general	neutraltone/awesome-stock-resources	14522	791	Ruby	false
